sample,sample_id,read_pairs_total,total_reads,unique_best_hit_pairs,mapping_efficiency_reported,mapping_efficiency_calculated
Sample_10-10_D,10_10,15479742,30959484,6998807,45.2%,45.21%
Sample_13-13_D,13_13,19750454,39500908,8980100,45.5%,45.47%
Sample_14-14_D,14_14,15803823,31607646,7091654,44.9%,44.87%
Sample_15-15_D,15_15,18791168,37582336,8243584,43.9%,43.87%
Sample_16-16_D,16_16,17028387,34056774,7485519,44.0%,43.96%
Sample_17-17_D,17_17,18404639,36809278,8916122,48.4%,48.44%
Sample_20-20_D,20_20,14301162,28602324,6481637,45.3%,45.32%
Sample_21-21_D,21_21,15390183,30780366,6986660,45.4%,45.40%
Sample_22-22_D,22_22,15346964,30693928,7090364,46.2%,46.20%
Sample_27-27_D,27_27,15061645,30123290,6791594,45.1%,45.09%
Sample_29-11_redo_D,29_11,17373278,34746556,7591446,43.7%,43.70%
Sample_32-18_redo_D,32_18,15726180,31452360,7674981,48.8%,48.80%
Sample_3-3_D,3_3,21091239,42182478,10099971,47.9%,47.89%
Sample_36-2_redo_D,36_2,21116291,42232582,9142716,43.3%,43.30%
Sample_6-6_D,6_6,18588646,37177292,8175660,44.0%,43.98%
Sample_7-7_D,7_7,21506980,43013960,9504698,44.2%,44.19%
Sample_8-8_D,8_8,22030619,44061238,10742404,48.8%,48.76%
Sample_9-9_D,9_9,19965412,39930824,9004238,45.1%,45.10%
